10213,ВПІ,@analyticsVPI
10094,ЗФ,
12743,ІАТ,@analyticsIAT
10214,ІЕЕ,@analyticsIEE
12933,ІМЗ,@analyticsIMZ
10217,ІТС,@analyticsITS
10095,ІФФ,
10096,ІХФ,@analyticsIHF
10218,ММІ,@analyticsMMI
10216,ІПСА,@analyticsIASA
10099,ПБФ,@analyticsFIE
10100,РТФ,@analyticsREF
10101,ТЕФ,@analyticsTEF
10102,ФАКС,
12194,ФБМІ,@analyticsFBMI
10103,ФБТ,@analyticsFBT
10104,ФЕА,@analyticsFEA
10105,ФЕЛ,@analyticsFEL
10106,ФІОТ,@analyticsFICT
10107,ФЛ,@analyticsFL
10108,ФММ,@analyticsFMM
10113,ФМФ,@analyticsFMF
10110,ФПМ,@analyticsFPM
12046,ФСП,@analyticsFSP
10220,ФТІ,@analyticsFTI
10114,ХТФ,@analyticsHTF
